trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-132.74666868219984,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,13,-83.15837125054955,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-85.3071483686992,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,9,-95.55293891005118,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-189.6517222193388,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,5,-88.46961755436396,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-110.58309394989014,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,8,-42.224144042963715,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-127.85584080295725,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,1,10.582945268320909,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,3.1550515117835536,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,1,-29.953034125360766,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-0.06892065674597747,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,18,7.075469581115105,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-28.924379838905917,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,9,25.079835739117108,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,19,14.128603119793446,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,14,9.884403967850549,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,19.541998085690636,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",35,0,48.83306972262384,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,15,-2.9163981853500687,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-14.091989287998135,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,4,30.38346651400382,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,20.004318601094436,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,14.947637742075367,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,20,15.077251554637755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,16,18.38886913853548,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-67.35637059884662,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,9,30.92611612045274,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,3,1.5618481153863852,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 0}",1
