trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",25,0,-96.67734306607552,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9801986733067553}",20,0,-104.36740931021956,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.9607894391523232}",20,0,-86.60649891859433,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.9417645335842487}",20,0,-70.53261099375807,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.9231163463866358}",20,0,-79.6157973699693,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.9048374180359595}",30,0,-42.28464456353576,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.8869204367171575}",35,0,-294.2894818331983,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 6}",0
8,False,"{'a': 0.6, 'e': 0.8693582353988059}",20,0,-104.2351816677288,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.8521437889662113}",20,0,-166.16806976987968,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,-48.56524272720962,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8187307530779818}",25,2,-146.06325320592308,"{0: 12, 1: 1, 2: 8, 3: 0, 4: 2}",1
12,False,"{'a': 0.6, 'e': 0.8025187979624785}",30,0,-49.10631306238453,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.7866278610665535}",25,0,-151.10324071674668,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.7710515858035663}",25,0,-82.94838853233924,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.7557837414557255}",20,15,3.731305956607149,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.7408182206817179}",20,0,-28.982772723237314,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
17,False,"{'a': 0.6, 'e': 0.7261490370736909}",25,0,-108.50100283820217,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.7117703227626097}",20,2,-70.26149470116253,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
19,False,"{'a': 0.6, 'e': 0.697676326071031}",20,0,-30.462451294786245,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.6, 'e': 0.6838614092123558}",35,16,-43.87688389695617,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.6, 'e': 0.6703200460356393}",20,0,-95.2310597347117,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.6570468198150567}",20,10,-53.43233399326433,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
23,False,"{'a': 0.6, 'e': 0.6440364210831414}",20,8,-104.9021121871909,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 2}",1
24,False,"{'a': 0.6, 'e': 0.631283645506926}",20,13,0.31290798471399084,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,0,-29.76507866570402,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.6065306597126334}",35,15,-76.03850637320677,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
27,False,"{'a': 0.6, 'e': 0.5945205479701944}",30,9,-49.2745616842388,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 1}",1
