trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,2,-169.67929670391754,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.83530713628613,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.0443275215394,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.81514286680347,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-136.89261152132016,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.1481595019256,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.0118904336535,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.43154675155213,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-194.88278531782277,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,12,-94.29761531309575,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.6317281271459,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,13,-82.27918082713671,"{0: 5, 1: 2, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-40.17030340313197,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",30,8,-79.60084756236327,"{0: 14, 1: 4, 2: 2, 3: 1, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.0502219373542,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-245.85187641718036,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 5}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.82084660529327,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.80003837548042,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,3,-222.95619605662097,"{0: 14, 1: 6, 2: 9, 3: 0, 4: 3}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.34060005477852,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-57.633266325036466,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,2,-61.85479904591487,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-135.6631398663783,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-110.80365703201822,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.3219568074549,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-104.63761820527304,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.021951524570376,"{0: 11, 1: 8, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.1451052483928,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.650616688463785,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-201.10615926245137,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0
